,Cash,Australian Short Duration Bond,Australian Fixed Income,Global Fixed Income (Hedged),Global Credit (Hedged),Australian Listed Equity,Global Listed Equity (Unhedged),Global Listed Equity (Hedged),Australian Listed Property,Global Infrastructure (Unhedged),Global Private Equity
Jun 2011,0.0040418940,0.0068539490,0.0055140920,0.0022430390,-0.0012922590,-0.0197558340,-0.0176158860,-0.0126745530,-0.0076627260,-0.0038153410,-0.0490070970
Jul 2011,0.0041823150,0.0066965290,0.0167364600,0.0149431660,0.0215794310,-0.0383089990,-0.0171611490,-0.0206258850,-0.0644602810,-0.0349457050,-0.0496395980
Aug 2011,0.0042622270,0.0029477130,0.0199127890,0.0167963950,0.0025740550,-0.0197851110,-0.0760253320,-0.0681124540,0.0289430900,0.0027545700,-0.1038755740
Sep 2011,0.0038683180,0.0015332920,0.0090017160,0.0105087910,0.0010595810,-0.0627538600,-0.0945526940,-0.0622337310,-0.0457904980,0.0654118330,0.0135123110
Oct 2011,0.0042013230,0.0094049050,-0.0057155420,0.0034077030,0.0171389020,0.0723149340,0.1039578980,0.0863531500,0.0378123710,-0.0234842730,0.0060322480
Nov 2011,0.0039235020,0.0029678490,0.0173318820,-0.0019974910,-0.0158094860,-0.0343872380,-0.0306275710,-0.0128985890,0.0265419430,0.0243762700,0.0003936660
Dec 2011,0.0040321690,0.0065403270,0.0077936230,0.0189729280,0.0225701500,-0.0143895310,-0.0026610080,0.0085724120,-0.0255479940,0.0271170370,0.0143595550
Jan 2012,0.0038936380,0.0023018870,0.0013582220,0.0133401560,0.0235036790,0.0513190130,0.0562329020,0.0490217310,0.0540239280,-0.0334732460,0.0380795830
Feb 2012,0.0033245430,0.0087683840,-0.0021208140,0.0068285890,0.0129002180,0.0203549310,0.0491782310,0.0501345180,0.0225407710,0.0010106890,0.0239289370
Mar 2012,0.0039046100,0.0079323560,0.0086151230,0.0019738090,0.0026852850,0.0121740270,0.0053029380,0.0170039860,-0.0059444020,0.0402514980,0.0660205990
Apr 2012,0.0037831030,0.0144059160,0.0159399280,0.0096029080,0.0109419240,0.0130313250,-0.0149457350,-0.0120798840,0.0541958540,0.0090350580,-0.0292706440
May 2012,0.0038096990,0.0008004260,0.0309656360,0.0145990720,0.0101801390,-0.0673736400,-0.0919274920,-0.0681590420,-0.0123699720,0.0266568450,0.0254541400
Jun 2012,0.0028378310,0.0048249320,-0.0016304790,0.0013961540,0.0058816920,0.0053553450,0.0467362570,0.0417714030,0.0433776540,-0.0112500180,0.0002890270
Jul 2012,0.0029248970,0.0072179310,0.0037157130,0.0161819350,0.0268528860,0.0419933680,0.0105552860,0.0139213830,0.0555180770,-0.0103718130,0.0202518560
Aug 2012,0.0029911460,0.0083260650,0.0062755510,0.0054381280,0.0085234490,0.0213689480,0.0202813110,0.0203513590,-0.0012911970,0.0054008640,0.0277145270
Sep 2012,0.0031321020,0.0060382280,0.0097300720,0.0067427190,0.0094224270,0.0218141090,0.0295817110,0.0267946760,0.0120080230,0.0061296570,0.0180780800
Oct 2012,0.0029658020,0.0027026560,0.0001815460,0.0057540500,0.0129328770,0.0291836600,-0.0086927350,-0.0028522140,0.0532485800,0.0115616460,0.0153708880
Nov 2012,0.0025433680,0.0053398130,0.0000777143,0.0074077970,0.0059793890,0.0039177630,0.0111381190,0.0170526630,-0.0128051290,-0.0200864350,-0.0016573640
Dec 2012,0.0028751540,0.0027346670,0.0018191540,0.0034303160,0.0051746440,0.0333310520,0.0211484040,0.0233951950,0.0286271460,0.0187617060,0.0368113710
Jan 2013,0.0026843540,0.0044563940,-0.0022589770,-0.0030674000,-0.0058088980,0.0497974350,0.0448477260,0.0500700880,0.0440556210,0.0376129740,0.0471569090
Feb 2013,0.0022456540,0.0016624220,0.0059419450,0.0082899010,0.0098663490,0.0529156220,-0.0030516500,0.0120934550,0.0353279740,0.0399978150,0.0951867080
Mar 2013,0.0024631430,0.0075155390,-0.0020274240,0.0074673320,0.0052314300,-0.0225382040,0.0167925390,0.0252064480,-0.0258214410,0.0177940480,0.0098047400
Apr 2013,0.0026138460,0.0040988680,0.0154205940,0.0132574890,0.0182664140,0.0429640260,0.0252933070,0.0254969460,0.0815789930,0.0542392080,0.0248317240
May 2013,0.0025687450,-0.0003261320,-0.0007450970,-0.0130923290,-0.0145879170,-0.0453761810,-0.0007957850,0.0191109020,-0.0366301690,0.0277123270,0.0786522240
Jun 2013,0.0022993540,0.0072202020,-0.0104632970,-0.0123972340,-0.0236312430,-0.0240284490,-0.0307857080,-0.0278563050,-0.0096832710,0.0303309220,0.0333226840
Jul 2013,0.0025316030,0.0020397240,0.0085549850,0.0062932640,0.0107647930,0.0529701420,0.0474328460,0.0462125990,-0.0070469850,0.0471451530,0.0570529350
Aug 2013,0.0023137470,0.0041481060,-0.0032066240,-0.0016590450,-0.0044897680,0.0251295240,-0.0237245040,-0.0179976750,-0.0007243800,-0.0369512840,-0.0059473950
Sep 2013,0.0021103260,0.0023432070,0.0050073880,0.0097732300,0.0102087190,0.0216207900,0.0491839620,0.0388278570,0.0093353230,-0.0067149070,-0.0053773650
Oct 2013,0.0021796640,0.0030723930,-0.0005619690,0.0110730170,0.0151929400,0.0393463050,0.0388495670,0.0408891600,0.0264124600,0.0175472270,0.0286575320
Nov 2013,0.0021318050,0.0034550480,-0.0009872690,0.0005052220,0.0003409010,-0.0135757550,0.0144654890,0.0222343370,-0.0273286810,0.0220384370,0.0661956190
Dec 2013,0.0021477060,0.0042939970,0.0052518120,-0.0035548110,-0.0016016900,0.0082348700,0.0171912590,0.0200406370,-0.0126161140,0.0352075770,0.0373170750
Jan 2014,0.0022425760,0.0039838910,0.0108748260,0.0167402560,0.0166228620,-0.0299552400,-0.0403054940,-0.0326526560,0.0041058780,0.0101296990,0.0156129750
Feb 2014,0.0019931630,0.0014665360,0.0034132090,0.0067135410,0.0103411230,0.0491639910,0.0458232790,0.0407809580,0.0426261580,0.0155532290,0.0045683760
Mar 2014,0.0021798050,0.0043250120,0.0001896620,0.0030781340,0.0036886880,0.0020944610,0.0012273250,0.0053946410,-0.0158052370,-0.0229161960,-0.0327727340
Apr 2014,0.0022144770,0.0046376030,0.0090671770,0.0089929090,0.0116544710,0.0168356440,0.0071587930,0.0077177230,0.0562866410,0.0193375650,-0.0392250200
May 2014,0.0022486280,0.0040657430,0.0137281090,0.0117386330,0.0149893630,0.0064520740,0.0183783260,0.0252547930,0.0004667850,0.0161050010,0.0352903480
Jun 2014,0.0022021480,0.0030800960,0.0080454130,0.0054601350,0.0044497470,-0.0144684340,0.0177359210,0.0173280010,0.0333072840,0.0233416570,0.0148867090
Jul 2014,0.0022991830,0.0036665340,0.0029120550,0.0046055100,0.0038522040,0.0441236720,-0.0145145380,-0.0030743610,0.0495692310,-0.0059645940,-0.0054700510
